census_tract,from,to,ratio_from,ratio_to
17031010100,46.0,0.0,2.4543831548214223e-06,0.0
17031010201,55.0,3.0,2.9345885546777873e-06,1.763170057516958e-07
17031010202,46.0,2.0,2.4543831548214223e-06,1.1754467050113054e-07
17031010300,524.0,63.0,2.7958625502748375e-05,3.702657120785612e-06
17031010400,1134.0,38.0,6.050588038190202e-05,2.2333487395214802e-06
17031010501,247.0,160.0,1.3178970418280246e-05,9.403573640090444e-06
17031010502,198.0,135.0,1.0564518796840036e-05,7.934265258826312e-06
17031010503,164.0,140.0,8.750409508493766e-06,8.228126935079138e-06
17031010600,628.0,19.0,3.3507665678866375e-05,1.1166743697607401e-06
17031010701,44.0,0.0,2.34767084374223e-06,0.0
17031010702,133.0,32.0,7.096368686766286e-06,1.8807147280180887e-06
17031020100,9.0,1.0,4.802053998563652e-07,5.877233525056527e-08
17031020200,18.0,1.0,9.604107997127304e-07,5.877233525056527e-08
17031020301,20.0,0.0,1.0671231107919228e-06,0.0
17031020302,10.0,0.0,5.335615553959614e-07,0.0
17031020400,27.0,0.0,1.4406161995690956e-06,0.0
17031020500,242.0,47.0,1.2912189640582264e-05,2.7622997567765676e-06
17031020601,26.0,1.0,1.3872600440294996e-06,5.877233525056527e-08
17031020602,474.0,106.0,2.5290817725768568e-05,6.229867536559919e-06
17031020701,17.0,2.0,9.070546441731344e-07,1.1754467050113054e-07
17031020702,66.0,13.0,3.521506265613345e-06,7.640403582573485e-07
17031020801,132.0,39.0,7.04301253122669e-06,2.2921210747720456e-06
17031020802,197.0,90.0,1.0511162641300438e-05,5.289510172550875e-06
17031020901,118.0,66.0,6.296026353672344e-06,3.878974126537308e-06
17031020902,146.0,50.0,7.789998708781035e-06,2.9386167625282637e-06
17031030101,1036.0,618.0,5.5276977139021596e-05,3.632130318484934e-05
17031030102,459.0,421.0,2.4490475392674625e-05,2.474315314048798e-05
17031030103,243.0,55.0,1.296554579612186e-05,3.23247843878109e-06
17031030104,110.0,28.0,5.869177109355575e-06,1.6456253870158277e-06
17031030200,2228.0,1489.0,0.00011887751454222019,8.751200718809169e-05
17031030300,197.0,208.0,1.0511162641300438e-05,1.2224645732117576e-05
