census_tract,avg
17031010702,24.5984848485
17031020301,19.895
17031040700,21.3645442708
17031051300,15.5159023837
17031060400,19.0650500501
17031071000,13.0687159576
17031080100,9.40652110199
17031081800,6.97420426877
17031110300,25.6875
17031140800,20.7668207624
17031171100,24.5166666667
17031210400,18.05
17031221000,16.7295238095
17031222700,16.68175
17031230100,17.1108888889
17031240900,15.4456102564
17031242400,12.194004909
17031271200,12.25
17031301100,15.9833333333
17031310200,10.8788487282
17031380100,13.7833333333
17031460500,21.45
17031560300,13.5
17031580502,23.25
17031611900,20.9142857143
17031690900,27.425
17031770601,49.75
17031803701,59.45
17031804505,74.05
17031805201,40.85
17031807400,10.6
17031810100,28.5388888889
17031811800,44.5
17031812801,26.0032374101
17031813802,22.9
17031816500,18.645
17031818000,29.25
17031819700,32.21
17031820201,43.65
17031823903,20.0
17031833000,7.76287968967
17031836200,21.713482148
17031842100,17.85
17031843800,17.4
17031980100,28.9997031103
17031010400,22.7223720137
17031031800,20.0275550122
17031040201,22.0717496542
17031040900,20.697221865
17031062100,17.3410375914
17031071200,12.4519716147
17031080300,9.30619560582
17031130200,26.68875
17031140301,21.6759688413
17031160700,18.8029668412
17031220701,17.7454545455
17031221200,15.8085048011
17031222900,22.375
17031242600,13.7362534653
17031251700,27.0
17031271400,14.225
17031310400,10.818
17031330100,8.85542241187
17031351500,13.25
17031410500,18.7075
17031430200,22.0214285714
17031480400,31.6625
17031510300,29.25
17031580200,17.7
17031660600,30.5
17031801200,43.45
17031801702,50.3777777778
17031803901,55.25
17031807600,26.65
17031809100,36.9875
17031811301,49.85
17031812302,26.0129032258
17031813500,21.5833333333
17031815000,24.66
17031819900,47.625
17031824117,63.25
17031831700,19.2083333333
17031836400,15.6399038462
17031839600,12.49
17031842300,8.69358077207
17031010502,23.2662162162
17031031400,17.9607038966
17031051100,16.7588738739
17031060200,19.1785941645
17031063400,15.2306075452
17031081403,7.17106112779
17031081600,6.65536148917
17031110100,21.6329268293
17031151200,21.45
17031160300,18.6280100756
17031190800,25.05
17031222500,15.869122807
17031240700,15.1542222222
17031242200,11.4278921778
17031280100,6.45731259215
17031290900,9.875
17031292400,22.0
17031340500,13.6713659359
17031351100,14.2833333333
17031360200,17.5
17031390700,16.550801027
17031410100,16.7250699301
17031440600,28.25
17031490800,37.65
17031560100,17.175
17031590600,16.56
17031640500,14.75
17031700501,31.9916666667
17031760802,21.75
17031805001,47.45
17031806002,62.25
17031807200,33.55
17031808900,33.61
17031811600,39.8539655172
17031813100,20.1206976744
17031814800,26.1
17031819500,51.9666666667
17031820700,17.95
17031825400,58.25
17031831300,18.64
17031834500,24.25
17031836000,17.2333333333
17031839200,10.5861037856
17031840400,15.13
17031843600,15.7916666667
17031020901,23.1932065217
17031030500,21.378863689
17031031501,18.3462158648
17031050200,20.9139247059
17031062500,16.4578697255
17031071600,11.5313019314
17031100100,29.975
17031140701,20.9271232877
17031150300,21.9513157895
17031200200,20.6833333333
17031221600,13.5792568104
17031230700,21.05
17031241300,12.3702678571
17031271800,18.25
17031280900,9.55
17031310800,12.2930656934
17031380700,15.45
17031410900,17.6455749405
17031430600,33.01
17031491400,41.5
17031530400,34.85
17031580600,17.75
17031610800,18.5
17031650200,28.275
17031691300,28.625
17031803100,19.7833333333
17031804603,54.5512437811
17031805801,40.325
17031806802,3.25
17031809500,31.6288461538
17031812200,25.9317460317
17031815400,30.9071428571
17031823302,3.25
17031827700,54.85
17031836800,17.3258823529
17031838300,10.0835713874
17031841000,10.0109247545
17031010600,23.9969860896
17031020701,27.5942105263
17031030103,21.3584563758
17031030300,22.8666419753
17031040401,21.8308615385
17031060800,16.7511368566
17031062300,16.6590411776
17031063301,15.3428720715
17031071400,11.8236709421
17031160900,19.0540897756
17031210800,15.7377777778
17031220901,18.05
17031221400,14.8370783442
17031241100,13.622541744
17031242800,12.8180608365
17031310600,12.2598901099
17031410700,18.0166071429
17031580400,17.05
17031630300,23.05
17031700402,39.0
17031807800,29.83
17031809300,30.6576315789
17031812000,26.6061151079
17031815200,23.25
17031815702,27.05
17031827500,76.75
17031830003,69.84
17031831900,17.4072516775
17031836600,15.4047945205
17031838100,10.9343794869
17031839800,12.92875
17031061000,18.7014770465
17031062700,15.8842202826
17031071800,11.5758978888
17031080201,9.53797938732
17031081202,8.64930029336
17031100300,22.5333333333
17031160601,19.6445128205
17031161100,20.6108163265
17031170200,24.3166666667
17031190402,12.05
17031210501,17.9254285714
17031220602,16.7168909427
17031230900,16.5194444444
17031241500,12.2156149171
17031243000,11.526617284
17031250600,25.25
17031350400,9.5542971246
17031400300,24.15
17031430101,20.55
17031680900,22.92
17031691500,31.0833333333
17031801603,51.4973684211
17031801800,41.4884615385
17031803012,32.95
17031803300,53.1
17031804104,63.45
17031805105,28.05
17031805302,48.65
17031809700,39.5
17031810900,32.0833333333
17031812400,24.3976744186
17031815600,31.65
17031818800,33.25
17031819801,28.1166666667
17031830600,23.6746001584
17031832100,17.9680133898
17031841200,13.4615384615
17031842900,12.0460620525
17031020601,24.9574074074
17031030200,24.7891713748
17031030702,19.4547706422
17031031900,23.6169437799
17031062200,16.721748218
17031070102,13.6880619822
17031071300,11.641443294
17031080400,10.6833837609
17031081401,7.60176550763
17031130300,23.8214285714
17031150502,5.05
17031151001,20.85
17031160800,18.1704485488
17031191100,21.35
17031200402,17.745
17031210700,16.1285764294
17031221300,15.5681626725
17031241000,14.65
17031242700,14.6908333333
17031252102,18.05
17031260900,17.25
17031283800,10.9197662666
17031291200,17.275
17031310500,10.2891489362
17031330200,7.83382740228
17031410600,18.3698701299
17031430300,22.2357142857
17031691000,33.5
17031770202,77.125
17031801300,34.1642857143
17031805107,52.1708333333
17031806502,40.35
17031808002,28.75625
17031810400,33.13046875
17031811401,42.85
17031818300,38.7125
17031823002,58.25
17031831800,22.2697530864
17031833300,9.40491743596
17031836500,13.0990804598
17031838000,11.450990099
17031839700,15.2868020305
17031842400,37.25
17031010503,22.3504934211
17031020801,25.981871345
17031030400,21.5813242784
17031050100,19.2371606786
17031060900,16.8156826475
17031061901,15.8660954373
17031062400,16.4065700059
17031071500,10.3413302629
17031140601,21.7191860465
17031150200,21.8743975904
17031200100,14.2055555556
17031210900,15.4974223602
17031221500,14.4481306082
17031230600,17.05
17031241200,16.6159160029
17031242900,12.1219341126
17031250300,22.45
17031301600,21.325
17031310700,11.4322580645
17031350100,14.0614726721
17031410800,18.0646539111
17031430500,26.025
17031660900,26.65
17031691200,26.0
17031700502,31.05
17031710800,26.95
17031760803,32.97
17031801500,32.7833333333
17031801608,33.2333333333
17031805701,25.025
17031807900,26.95
17031809400,31.2637820513
17031812100,26.1129032258
17031815300,28.25
17031818500,46.25
17031836700,14.2745454545
17031838200,10.7658481149
17031839900,14.9073529412
17031842600,15.59375
17031020200,25.5631578947
17031020702,26.2050632911
17031030104,22.4387681159
17031040402,21.3929612546
17031050700,16.6178871893
17031063302,13.9529226583
17031070400,14.5830637695
17031081000,8.03071139419
17031100600,37.3235294118
17031120300,28.4192307692
17031150800,23.28
17031190702,22.25
17031220400,15.434746988
17031220902,18.1166666667
17031243300,10.9370005957
17031390100,16.5576923077
17031411200,20.054763809
17031420300,20.63625
17031570300,21.65
17031620200,23.05
17031711200,35.5
17031720300,18.1
17031770500,46.68125
17031800400,51.75
17031802402,55.05625
17031811000,27.25
17031812700,23.2545454545
17031814200,29.75
17031815900,24.7048717949
17031818401,40.0
17031822102,30.7
17031830900,14.9154754424
17031832400,14.48654934
17031835600,20.0
17031837100,12.9633333333
17031838800,30.762
17031841500,15.75
17031843000,12.45
17031020400,25.3822222222
17031020902,23.718622449
17031031000,20.6926473885
17031031502,24.0
17031040100,22.6704481547
17031050900,16.7944886364
